video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,session
T1.4V_2025-08-14-16-16-15_21_26_5_,1_centerhole,0.47978,hardyboard,5.0,1.4,2.0,hardyboard_new
T1.4V_2025-08-14-16-16-15_21_26_5_,2_cornerhole,0.16867,hardyboard,5.0,1.4,2.0,hardyboard_new
T1.4V_2025-08-15-18-58-06_21_28_7_,1_centerhole,0.47978,hardyboard,7.0,1.4,2.0,hardyboard_new
T1.4V_2025-08-15-18-58-06_21_28_7_,2_cornerhole,0.16867,hardyboard,7.0,1.4,2.0,hardyboard_new
T1.4V_2025-08-14-15-57-24_21_30_9_,1_centerhole,0.47978,hardyboard,9.0,1.4,2.0,hardyboard_new
T1.4V_2025-08-14-15-57-24_21_30_9_,2_cornerhole,0.16867,hardyboard,9.0,1.4,2.0,hardyboard_new
T1.4V_2025-08-15-18-45-57_21_32_11_,1_centerhole,0.47978,hardyboard,11.0,1.4,2.0,hardyboard_new
T1.4V_2025-08-15-18-45-57_21_32_11_,2_cornerhole,0.16867,hardyboard,11.0,1.4,2.0,hardyboard_new
T1.4V_2025-08-14-15-47-12_21_34_13_,1_centerhole,0.47978,hardyboard,13.0,1.4,2.0,hardyboard_new
T1.4V_2025-08-14-15-47-12_21_34_13_,2_cornerhole,0.16867,hardyboard,13.0,1.4,2.0,hardyboard_new
T1.6V_2025-08-14-15-25-44_21_26_5_,1_centerhole,0.61767,hardyboard,5.0,1.6,3.2,hardyboard_new
T1.6V_2025-08-14-15-25-44_21_26_5_,2_cornerhole,0.22286,hardyboard,5.0,1.6,3.2,hardyboard_new
T1.6V_2025-08-15-18-32-56_21_28_7_,1_centerhole,0.61767,hardyboard,7.0,1.6,3.2,hardyboard_new
T1.6V_2025-08-15-18-32-56_21_28_7_,2_cornerhole,0.22286,hardyboard,7.0,1.6,3.2,hardyboard_new
T1.6V_2025-08-14-15-06-52_21_30_9_,1_centerhole,0.61767,hardyboard,9.0,1.6,3.2,hardyboard_new
T1.6V_2025-08-14-15-06-52_21_30_9_,2_cornerhole,0.22286,hardyboard,9.0,1.6,3.2,hardyboard_new
T1.6V_2025-08-15-18-20-33_21_32_11_,1_centerhole,0.61767,hardyboard,11.0,1.6,3.2,hardyboard_new
T1.6V_2025-08-15-18-20-33_21_32_11_,2_cornerhole,0.22286,hardyboard,11.0,1.6,3.2,hardyboard_new
T1.6V_2025-08-14-14-56-37_21_34_13_,1_centerhole,0.61767,hardyboard,13.0,1.6,3.2,hardyboard_new
T1.6V_2025-08-14-14-56-37_21_34_13_,2_cornerhole,0.22286,hardyboard,13.0,1.6,3.2,hardyboard_new
T1.8V_2025-08-14-14-37-20_21_26_5_,1_centerhole,0.74016,hardyboard,5.0,1.8,4.5,hardyboard_new
T1.8V_2025-08-14-14-37-20_21_26_5_,2_cornerhole,0.27122,hardyboard,5.0,1.8,4.5,hardyboard_new
T1.8V_2025-08-15-18-08-25_21_28_7_,1_centerhole,0.74016,hardyboard,7.0,1.8,4.5,hardyboard_new
T1.8V_2025-08-15-18-08-25_21_28_7_,2_cornerhole,0.27122,hardyboard,7.0,1.8,4.5,hardyboard_new
T1.8V_2025-08-14-14-16-08_21_30_9_,1_centerhole,0.74016,hardyboard,9.0,1.8,4.5,hardyboard_new
T1.8V_2025-08-14-14-16-08_21_30_9_,2_cornerhole,0.27122,hardyboard,9.0,1.8,4.5,hardyboard_new
T1.8V_2025-08-15-17-56-33_21_32_11_,1_centerhole,0.74016,hardyboard,11.0,1.8,4.5,hardyboard_new
T1.8V_2025-08-15-17-56-33_21_32_11_,2_cornerhole,0.27122,hardyboard,11.0,1.8,4.5,hardyboard_new
T1.8V_2025-08-14-14-05-15_21_34_13_,1_centerhole,0.74016,hardyboard,13.0,1.8,4.5,hardyboard_new
T1.8V_2025-08-14-14-05-15_21_34_13_,2_cornerhole,0.27122,hardyboard,13.0,1.8,4.5,hardyboard_new
